STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,ind_type,Individual type,indic_is,Information society indicator,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ISOC_EC_IBGS(1.0),Internet purchases - goods or services (2020 onwards),A,Annual,IND_TOTAL,All individuals,I_BAPP,"Online purchases (3 months): other apps (e.g. related to learning languages, travelling, weather) (excluding free apps) (until 2023)",PC_IND,Percentage of individuals,AL,Albania,2020,,0.09,,,,,
dataflow,ESTAT:ISOC_EC_IBGS(1.0),Internet purchases - goods or services (2020 onwards),A,Annual,IND_TOTAL,All individuals,I_BAPP,"Online purchases (3 months): other apps (e.g. related to learning languages, travelling, weather) (excluding free apps) (until 2023)",PC_IND,Percentage of individuals,AL,Albania,2021,,0.29,,,,,
dataflow,ESTAT:ISOC_EC_IBGS(1.0),Internet purchases - goods or services (2020 onwards),A,Annual,IND_TOTAL,All individuals,I_BAPP,"Online purchases (3 months): other apps (e.g. related to learning languages, travelling, weather) (excluding free apps) (until 2023)",PC_IND,Percentage of individuals,AL,Albania,2022,,2.70,,,,,
dataflow,ESTAT:ISOC_EC_IBGS(1.0),Internet purchases - goods or services (2020 onwards),A,Annual,IND_TOTAL,All individuals,I_BAPP,"Online purchases (3 months): other apps (e.g. related to learning languages, travelling, weather) (excluding free apps) (until 2023)",PC_IND,Percentage of individuals,AL,Albania,2023,,3.51,,,,,
dataflow,ESTAT:ISOC_EC_IBGS(1.0),Internet purchases - goods or services (2020 onwards),A,Annual,IND_TOTAL,All individuals,I_BAPP,"Online purchases (3 months): other apps (e.g. related to learning languages, travelling, weather) (excluding free apps) (until 2023)",PC_IND,Percentage of individuals,AT,Austria,2020,,3.20,,,,,
dataflow,ESTAT:ISOC_EC_IBGS(1.0),Internet purchases - goods or services (2020 onwards),A,Annual,IND_TOTAL,All individuals,I_BAPP,"Online purchases (3 months): other apps (e.g. related to learning languages, travelling, weather) (excluding free apps) (until 2023)",PC_IND,Percentage of individuals,AT,Austria,2021,,7.10,,,,,
dataflow,ESTAT:ISOC_EC_IBGS(1.0),Internet purchases - goods or services (2020 onwards),A,Annual,IND_TOTAL,All individuals,I_BAPP,"Online purchases (3 months): other apps (e.g. related to learning languages, travelling, weather) (excluding free apps) (until 2023)",PC_IND,Percentage of individuals,AT,Austria,2022,,6.56,,,,,
dataflow,ESTAT:ISOC_EC_IBGS(1.0),Internet purchases - goods or services (2020 onwards),A,Annual,IND_TOTAL,All individuals,I_BAPP,"Online purchases (3 months): other apps (e.g. related to learning languages, travelling, weather) (excluding free apps) (until 2023)",PC_IND,Percentage of individuals,AT,Austria,2023,,9.77,,,,,
dataflow,ESTAT:ISOC_EC_IBGS(1.0),Internet purchases - goods or services (2020 onwards),A,Annual,IND_TOTAL,All individuals,I_BAPP,"Online purchases (3 months): other apps (e.g. related to learning languages, travelling, weather) (excluding free apps) (until 2023)",PC_IND,Percentage of individuals,BA,Bosnia and Herzegovina,2020,,0.26,,,,,
dataflow,ESTAT:ISOC_EC_IBGS(1.0),Internet purchases - goods or services (2020 onwards),A,Annual,IND_TOTAL,All individuals,I_BAPP,"Online purchases (3 months): other apps (e.g. related to learning languages, travelling, weather) (excluding free apps) (until 2023)",PC_IND,Percentage of individuals,BA,Bosnia and Herzegovina,2021,,0.32,,,,,
dataflow,ESTAT:ISOC_EC_IBGS(1.0),Internet purchases - goods or services (2020 onwards),A,Annual,IND_TOTAL,All individuals,I_BAPP,"Online purchases (3 months): other apps (e.g. related to learning languages, travelling, weather) (excluding free apps) (until 2023)",PC_IND,Percentage of individuals,BA,Bosnia and Herzegovina,2023,,0.42,,,,,
dataflow,ESTAT:ISOC_EC_IBGS(1.0),Internet purchases - goods or services (2020 onwards),A,Annual,IND_TOTAL,All individuals,I_BAPP,"Online purchases (3 months): other apps (e.g. related to learning languages, travelling, weather) (excluding free apps) (until 2023)",PC_IND,Percentage of individuals,BE,Belgium,2020,,2.10,,,,,
