STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_is,Information society indicator,ind_type,Individual type,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,AL,Albania,2018,,0.20,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,AL,Albania,2019,,0.24,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,AT,Austria,2010,,4.75,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,AT,Austria,2011,,4.60,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,AT,Austria,2012,,5.64,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,AT,Austria,2013,,5.97,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,AT,Austria,2014,,7.08,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,AT,Austria,2015,,8.89,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,AT,Austria,2016,,10.56,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,AT,Austria,2017,,11.85,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,AT,Austria,2018,,13.11,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,AT,Austria,2019,,13.65,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,BA,Bosnia and Herzegovina,2018,,0.39,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,BA,Bosnia and Herzegovina,2019,,2.36,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,BE,Belgium,2010,,2.49,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,BE,Belgium,2011,,3.44,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,BE,Belgium,2012,,4.49,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,BE,Belgium,2013,,4.67,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,BE,Belgium,2014,,5.10,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,BE,Belgium,2015,,5.77,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,BE,Belgium,2016,,6.78,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,BE,Belgium,2017,,9.25,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,BE,Belgium,2018,,8.71,,u,low reliability,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,BE,Belgium,2019,,10.90,,u,low reliability,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,BG,Bulgaria,2010,,0.74,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,BG,Bulgaria,2011,,0.61,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,BG,Bulgaria,2012,,1.03,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,BG,Bulgaria,2013,,2.43,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,BG,Bulgaria,2014,,3.26,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,BG,Bulgaria,2015,,3.26,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,BG,Bulgaria,2016,,3.71,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,BG,Bulgaria,2017,,3.33,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,BG,Bulgaria,2018,,2.90,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,BG,Bulgaria,2019,,3.66,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,CH,Switzerland,2014,,14.99,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,CH,Switzerland,2017,,18.71,,b,break in time series,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,CH,Switzerland,2019,,21.26,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,CY,Cyprus,2010,,0.56,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,CY,Cyprus,2011,,0.32,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,CY,Cyprus,2012,,0.67,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,CY,Cyprus,2013,,0.80,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,CY,Cyprus,2014,,2.93,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,CY,Cyprus,2015,,1.27,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,CY,Cyprus,2016,,2.45,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,CY,Cyprus,2017,,2.36,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,CY,Cyprus,2018,,1.97,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,CY,Cyprus,2019,,4.35,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,CZ,Czechia,2010,,0.74,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,CZ,Czechia,2011,,1.63,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,CZ,Czechia,2012,,0.96,,,,,
dataflow,ESTAT:ISOC_EC_IBUY(1.0),Internet purchases by individuals (2002-2019),A,Annual,I_BFOOD,Online purchases: Food/groceries,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,CZ,Czechia,2013,,2.26,,,,,
