Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2905","Cereals - Excluding Beer","2022","2022","kg/cap","198.73","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2909","Sugar & Sweeteners","2022","2022","kg/cap","8.5","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2914","Vegetable Oils","2022","2022","kg/cap","8.56","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2919","Fruits - Excluding Wine","2022","2022","kg/cap","38.55","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2924","Alcoholic Beverages","2022","2022","kg/cap","0","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2943","Meat","2022","2022","kg/cap","6.71","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2946","Animal fats","2022","2022","kg/cap","1.51","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2948","Milk - Excluding Butter","2022","2022","kg/cap","40.65","E","Estimated value",""
"FBS","Food Balances (2010-)","008","Albania","645","Food supply quantity (kg/capita/yr)","S2905","Cereals - Excluding Beer","2022","2022","kg/cap","118.36","E","Estimated value",""
"FBS","Food Balances (2010-)","008","Albania","645","Food supply quantity (kg/capita/yr)","S2909","Sugar & Sweeteners","2022","2022","kg/cap","52.99","E","Estimated value",""
"FBS","Food Balances (2010-)","008","Albania","645","Food supply quantity (kg/capita/yr)","S2914","Vegetable Oils","2022","2022","kg/cap","10.5","E","Estimated value",""
"FBS","Food Balances (2010-)","008","Albania","645","Food supply quantity (kg/capita/yr)","S2919","Fruits - Excluding Wine","2022","2022","kg/cap","200.52","E","Estimated value",""
"FBS","Food Balances (2010-)","008","Albania","645","Food supply quantity (kg/capita/yr)","S2924","Alcoholic Beverages","2022","2022","kg/cap","42.32","E","Estimated value",""
"FBS","Food Balances (2010-)","008","Albania","645","Food supply quantity (kg/capita/yr)","S2943","Meat","2022","2022","kg/cap","53.47","E","Estimated value",""
"FBS","Food Balances (2010-)","008","Albania","645","Food supply quantity (kg/capita/yr)","S2946","Animal fats","2022","2022","kg/cap","3.47","E","Estimated value",""
"FBS","Food Balances (2010-)","008","Albania","645","Food supply quantity (kg/capita/yr)","S2948","Milk - Excluding Butter","2022","2022","kg/cap","305.02","E","Estimated value",""
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2905","Cereals - Excluding Beer","2022","2022","kg/cap","213.35","E","Estimated value",""
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2909","Sugar & Sweeteners","2022","2022","kg/cap","30.79","E","Estimated value",""
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2914","Vegetable Oils","2022","2022","kg/cap","21.19","E","Estimated value",""
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2919","Fruits - Excluding Wine","2022","2022","kg/cap","100.42","E","Estimated value",""
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2924","Alcoholic Beverages","2022","2022","kg/cap","3.47","E","Estimated value",""
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2943","Meat","2022","2022","kg/cap","21.93","E","Estimated value",""
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2946","Animal fats","2022","2022","kg/cap","0.45","E","Estimated value",""
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2948","Milk - Excluding Butter","2022","2022","kg/cap","149.8","E","Estimated value",""
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2905","Cereals - Excluding Beer","2022","2022","kg/cap","86.12","E","Estimated value",""
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2909","Sugar & Sweeteners","2022","2022","kg/cap","16.25","E","Estimated value",""
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2914","Vegetable Oils","2022","2022","kg/cap","9.88","E","Estimated value",""
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2919","Fruits - Excluding Wine","2022","2022","kg/cap","79.71","E","Estimated value",""
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2924","Alcoholic Beverages","2022","2022","kg/cap","56.28","E","Estimated value",""
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2943","Meat","2022","2022","kg/cap","23.04","E","Estimated value",""
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2946","Animal fats","2022","2022","kg/cap","0.5","E","Estimated value",""
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2948","Milk - Excluding Butter","2022","2022","kg/cap","9.65","E","Estimated value",""
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","S2905","Cereals - Excluding Beer","2022","2022","kg/cap","88.17","E","Estimated value",""
